variant,glom_a,glom_b,n_a,n_b,n_overlap,n_union,N,D_set,D_mag_sum,D_mag_mean,importance_sum,importance_mean,D_mag_sum_a,D_mag_sum_b,synergy
pn,VA3,VA4,22,5,1,26,500,0.02200000000000002,0.23841100931167603,0.23499810695648193,0.13020550465583802,0.12849905347824098,0.15391600131988525,0.13133090734481812,-0.02662197124480059
pn,VA3,VA5,22,12,4,30,500,0.020000000000000018,0.24363207817077637,0.24003134667873383,0.1318160390853882,0.13001567333936692,0.15391600131988525,0.18265801668167114,-0.06482794829411631
pn,VA3,VA6,22,21,2,41,500,0.04400000000000004,0.3764262795448303,0.37577998638153076,0.21021313977241518,0.2098899931907654,0.15391600131988525,0.30973321199417114,-0.03955003630311893
pn,VA3,VA7l,22,2,0,24,500,0.04400000000000004,0.3271452784538269,0.3245055079460144,0.18557263922691347,0.18425275397300722,0.15391600131988525,0.2288380265235901,-0.02038691539720361
pn,VA3,VA7m,22,17,8,31,500,0.014000000000000012,0.20377326011657715,0.20276129245758057,0.10888663005828858,0.10838064622879029,0.15391600131988525,0.1587257981300354,-0.08443809917886114
pn,VA3,VC1,22,17,0,39,500,0.04400000000000004,0.4396188259124756,0.43185681104660034,0.2418094129562378,0.2379284055233002,0.15391600131988525,0.37047135829925537,-0.027747063633697167
pn,VA3,VC2,22,7,1,28,500,0.050000000000000044,0.36418700218200684,0.35728535056114197,0.20709350109100344,0.203642675280571,0.15391600131988525,0.2858002185821533,-0.031539990899517534
pn,VA3,VC3,22,24,1,45,500,0.030000000000000027,0.37372761964797974,0.3687284588813782,0.20186380982398988,0.1993642294406891,0.15391600131988525,0.29464036226272583,-0.02947887754771017
pn,VA3,VC4,22,12,1,33,500,0.018000000000000016,0.22359305620193481,0.22210848331451416,0.12079652810096742,0.12005424165725709,0.15391600131988525,0.10284054279327393,-0.0173346827909171
pn,VA3,VC5,22,30,2,50,500,0.07199999999999995,0.5276497602462769,0.5209730863571167,0.2998248801231384,0.2964865431785583,0.15391600131988525,0.48843318223953247,-0.039521740990885235
pn,VA3,VL1,22,23,1,44,500,0.028000000000000025,0.24124211072921753,0.2453751564025879,0.13462105536460878,0.13668757820129396,0.15391600131988525,0.1177147626876831,-0.012270467709143418
pn,VA3,VL2a,22,14,5,31,500,0.04200000000000004,0.3352539539337158,0.3326071798801422,0.18862697696685793,0.18730358994007112,0.15391600131988525,0.2601777911186218,-0.03879431326357263
pn,VA3,VL2p,22,33,6,49,500,0.07399999999999995,0.43647921085357666,0.4333410859107971,0.2552396054267883,0.25367054295539854,0.15391600131988525,0.3817470669746399,-0.04042687537661749
pn,VA3,VM1,22,12,3,31,500,0.018000000000000016,0.25080204010009766,0.249387726187706,0.13440102005004884,0.133693863093853,0.15391600131988525,0.15553343296051025,-0.03470831010746167
pn,VA3,VM2,22,11,1,32,500,0.018000000000000016,0.23070305585861206,0.22776468098163605,0.12435152792930604,0.12288234049081803,0.15391600131988525,0.11098241806030273,-0.017113393516922315
pn,VA3,VM3,22,13,1,34,500,0.02400000000000002,0.30161207914352417,0.2981660068035126,0.1628060395717621,0.1610830034017563,0.15391600131988525,0.20366835594177246,-0.024624459176180835
pn,VA3,VM4,22,19,1,40,500,0.03600000000000003,0.31594598293304443,0.31222373247146606,0.17597299146652223,0.17411186623573305,0.15391600131988525,0.21491551399230957,-0.019806595843846253
